Equacao;Ano;sigla
((AG003_AA + AG003) + 	(ES003_AA + ES003))/(	(FN026_AA + FN026) + 	(		(FN014*			(FN026_AA + FN026)		)	)/	(FN010));2016;IN019
((AG003_AA + AG003) + 	(ES003_AA + ES003))/(	(FN026_AA + FN026) + 	(		(FN014*			(FN026_AA + FN026)		)	)/	(FN010));2015;IN019
((AG003_AA + AG003) + 	(ES003_AA + ES003))/(	(FN026_AA + FN026) + 	(		(FN014*			(FN026_AA + FN026)		)	)/	(FN010));2014;IN019
((AG003_AA + AG003) + 	(ES003_AA + ES003))/(	(FN026_AA + FN026) + 	(		(FN014*			(FN026_AA + FN026)		)	)/	(FN010));2017;IN019
(((AG005_AA + AG005)*(500))/((AG021_AA + AG021)/(2)));2015;IN020
(((AG005_AA + AG005)*(500))/((AG021_AA + AG021)/(2)));2014;IN020
(((AG005_AA + AG005)*(500))/((AG021_AA + AG021)/(2)));2013;IN020
(((AG005_AA + AG005)*(500))/((AG021_AA + AG021)/(2)));2017;IN020
(((AG005_AA + AG005)*(500))/((AG021_AA + AG021)/(2)));2016;IN020
(((ES004_AA + ES004)*(500))/((ES009_AA + ES009)/(2)));2014;IN021
(((ES004_AA + ES004)*(500))/((ES009_AA + ES009)/(2)));2015;IN021
(((ES004_AA + ES004)*(500))/((ES009_AA + ES009)/(2)));2017;IN021
(((ES004_AA + ES004)/(2))/((ES009_AA + ES009)/(2)));2013;IN021
(((ES004_AA + ES004)*(500))/((ES009_AA + ES009)/(2)));2016;IN021
(((AG010 - AG019)*(100/36))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2016;IN022
(((AG010 - AG019)*(100/36))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2014;IN022
(((AG010 - AG019)*(100/36))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2017;IN022
(((AG010 - AG019)*(100/36))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2015;IN022
(((AG010 - AG019)*(100/36))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2013;IN022
((AG026)/(GE006))*100;2013;IN023
